SAMPLE_NO,SAMPLE_SOURCE_CODE,SAMPLE_SOURCE,ROCK_GROUP_CODE,ROCK_GROUP,LITHO_CODE,LITHO_CONF,LITHOLOGY_NAME,LITHO_MODIFIER,MAP_SYMBOL,STRAT_CONF,STRAT_NAME,COLLECTED_BY,COLLECTORS_NUMBER,COLLECTED_DATE,DRILLHOLE_NUMBER,DH_NAME,DH_DEPTH_FROM,DH_DEPTH_TO,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,SAMPLE_ANALYSIS_NO,OTHER_ANALYSIS_ID,ANALYSIS_PROGRAM,ANALYSIS_TYPE_DESC,LABORATORY,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,K_ppm,LOI_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pr_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
2137547,PULP,"Pulp / powdered rock of known origin, typically a lab return",SSL,Sediment Siliciclastic Lutite,SLST,,Siltstone,,Nnt,,Tapley Hill Formation,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,23.0,24.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688394,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",2.31,72611.80206403811,25.0,0.0003,348.2,4.5,0.55,25148.367952522254,2.84,92.7,27.7,77.0,10.56,85.0,6.88,3.67,2.01,1152.0,52108.834021123315,19.1,8.2,1e-06,5.3,1.35,0.078,40428.35796114893,101500.0,44.0,54.0,0.51,24724.115057589097,2710.656753407683,1.2,6602.3738872403555,18.6,42.9,47.0,1178.3189316575022,1755.0,0.0002,10.8,1e-06,201.0,1e-06,19079.0,1.77,17.0,1e-06,251250.40901229376,9.67,4.0,83.0,1.6,1.23,0.1,16.81,6893.244620272133,1.49,0.53,3.57,153.0,2.0,36.4,3.44,1188.0,190.0
2137548,PULP,"Pulp / powdered rock of known origin, typically a lab return",SCC,Sediment Chemical/Biogenic Carbonate,DLOM,,Dolomite Rock,,Nnt,,Tapley Hill Formation,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,30.0,30.5,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688395,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",2.74,26726.647261180206,26.0,0.0003,1211.1,3.5,2.18,107344.21364985163,0.8,53.4,19.7,1e-06,4.36,2219.0,2.81,1.49,0.75,601.0,22801.98643071973,9.3,3.12,1e-06,2.7,0.53,0.102,18346.339033704135,217300.0,35.8,19.9,0.19,57046.3727914129,8828.996282527882,4.6,2002.967359050445,7.7,14.9,5.0,218.20720956620409,51.0,0.0001,4.91,1e-06,83.6,0.004,9092.0,2.06,1e-06,1.2,193754.96657785258,3.16,1.0,68.5,0.5,0.51,0.09,6.27,1978.0614997302646,1.27,0.2,21.16,54.0,1e-06,14.4,1.31,62.0,95.0
2137549,PULP,"Pulp / powdered rock of known origin, typically a lab return",IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,30.5,32.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688396,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.21,70971.15639057952,5.7,1e-06,1422.2,3.2,0.2,14985.163204747774,1e-06,125.2,13.1,1e-06,4.69,210.0,8.14,4.88,2.19,878.0,51619.22081555571,19.2,8.47,1e-06,7.3,1.74,0.067,50971.27677237258,49000.0,59.3,53.8,0.69,15256.588072122051,1394.0520446096655,0.8,8827.893175074183,20.8,49.6,5.0,1614.73335078991,9.0,1e-06,14.16,1e-06,202.8,1e-06,525.0,0.53,16.0,1e-06,284859.5334922638,9.48,3.0,65.8,1.4,1.34,0.06,28.56,7612.539711083139,0.87,0.71,5.38,114.0,2.0,46.1,4.51,41.0,276.0
2137550,QCORE,Sawn quarter drill core,IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,48.0,49.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688397,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.07,69648.05504101615,4.7,1e-06,1065.4,3.0,0.69,6899.109792284867,1e-06,171.2,10.5,1e-06,3.89,2.0,8.52,4.98,2.01,754.0,43155.90683360145,19.5,9.05,1e-06,7.5,1.72,0.062,69981.73667607504,32599.999999999996,93.4,28.8,0.75,8985.105228245793,697.0260223048327,0.6,1706.231454005935,25.9,64.4,3.0,829.1873963515756,7.0,1e-06,19.3,1e-06,259.1,1e-06,75.0,0.74,10.0,1e-06,306735.8481746366,11.32,3.0,34.1,1.9,1.41,0.05,36.91,4615.47683270395,1.08,0.74,5.45,63.0,1.0,47.8,4.81,41.0,300.0
2137551,PULP,"Pulp / powdered rock of known origin, typically a lab return",GB,Breccia (Undifferentiated),BREC,,Breccia (Undiff. Origin),,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,64.0,65.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688398,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.98,67319.3966657846,16.5,1e-06,1067.5,6.3,1.75,2448.0712166172107,1e-06,265.8,8.8,1e-06,14.83,129.0,9.07,5.06,3.68,1749.0,49870.60222424285,18.1,12.76,1e-06,8.7,1.82,0.095,62593.391997343526,36800.0,134.6,50.4,0.78,11095.700416088765,309.78934324659235,2.7,1261.127596439169,26.4,140.3,5.0,698.2630706118531,14.0,1e-06,37.47,1e-06,269.3,0.002,173.0,0.91,1e-06,1e-06,307997.94325246575,20.0,4.0,42.7,2.0,1.67,0.07,50.79,3596.4754540550266,1.19,0.77,6.98,36.0,1e-06,49.5,5.15,40.0,312.0
2137552,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,67.0,68.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688399,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.15,71553.3209843874,5.6,1e-06,812.2,3.1,0.17,28931.75074183976,1e-06,48.0,50.4,80.0,2.1,4.0,5.94,3.44,1.68,1043.0,68755.68301042177,19.0,6.31,1e-06,4.2,1.22,0.096,54042.8357961149,90500.0,20.1,80.1,0.49,40824.941204848335,2865.5514250309793,0.8,1038.5756676557864,7.7,24.0,32.0,1571.0919088766693,1e-06,1e-06,5.73,1e-06,97.9,1e-06,1e-06,0.35,30.0,1e-06,226896.64843640444,5.71,1.0,27.9,0.4,0.96,0.07,8.79,9111.071150272734,0.64,0.49,2.46,207.0,1e-06,33.6,3.19,159.0,162.0
2137553,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,90.0,91.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688400,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.06,77374.96692246625,11.8,0.0001,466.6,2.4,0.13,19065.28189910979,1e-06,57.9,31.7,85.0,8.09,47.0,5.15,2.74,2.12,981.0,119605.51164579982,19.8,5.76,0.13,3.5,1.02,0.078,53461.730034866356,68000.0,27.0,84.1,0.36,36302.23723089911,1316.6047087980176,0.7,10311.572700296734,5.7,27.4,29.0,1352.8846993104653,24.0,1e-06,6.9,1e-06,177.0,1e-06,86.0,1.02,28.0,1e-06,205674.75342401722,6.07,1.0,55.7,0.3,0.89,0.06,4.19,7972.187256488642,1.09,0.38,1.27,283.0,1e-06,24.7,2.39,145.0,130.0
2137554,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,110.0,111.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688401,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.05,71923.78936226515,3.8,0.0001,292.7,1.2,0.09,21068.249258160235,0.06,99.4,46.1,67.0,2.98,128.0,4.92,2.69,2.58,884.0,64209.27467300832,18.9,6.81,1e-06,3.4,0.98,0.067,28142.121866179652,83100.0,37.5,118.5,0.4,58855.454380992574,1858.7360594795541,0.3,13501.483679525221,6.9,65.3,35.0,1309.2432573972244,12.0,1e-06,15.47,1e-06,87.2,1e-06,1058.0,0.17,27.0,1e-06,232178.75005843033,10.1,1.0,47.0,0.3,0.92,0.06,8.74,8391.776059461727,0.56,0.39,1.37,220.0,1e-06,24.5,2.49,235.0,128.0
2137555,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,125.0,126.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688402,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,83990.47367028314,4.0,0.0002,758.4,1.8,0.01,15059.3471810089,0.05,55.3,48.6,80.0,3.63,4.0,6.14,3.16,2.58,835.0,91417.77995383646,19.6,6.87,1e-06,3.8,1.18,0.075,13365.432508716589,63200.0,25.1,69.8,0.46,56624.2537538443,1316.6047087980176,0.2,28338.278931750738,6.8,29.7,42.0,1396.5261412237062,7.0,1e-06,7.29,1e-06,44.2,1e-06,1e-06,0.09,31.0,1e-06,214976.8615902398,6.85,1.0,427.3,0.4,1.01,0.08,4.81,9650.542468380989,0.29,0.46,1.13,268.0,1e-06,31.4,2.8,235.0,142.0
2137556,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,150.0,151.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688403,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.1,79756.54935168034,4.9,0.0001,582.7,0.9,0.03,24851.632047477742,0.03,54.8,39.8,68.0,0.38,23.0,5.15,2.97,1.93,792.0,78478.0023781213,20.0,5.79,1e-06,3.8,1.04,0.061,14527.644031213682,56900.00000000001,25.6,63.7,0.4,39980.703129711146,1548.9467162329618,0.2,33308.605341246286,7.1,27.5,35.0,1396.5261412237062,30.0,1e-06,6.87,1e-06,48.1,1e-06,1e-06,0.1,28.0,1e-06,234282.2418548123,6.05,2.0,213.2,0.4,0.9,0.06,5.67,8451.717317029312,0.29,0.46,1.17,218.0,1e-06,28.2,2.59,192.0,143.0
